// Database ASPD Job
//
// Struktur:
// JobID,Base,DAG,SWO,SW2,SPE,SP2,AXE,AX2,MAC,MA2,ROD,BOW,KNU,INS,WHI,BOK,KAT,HGU,RIF,GAT,SGU,GRE,HUU,RO2,SHI,*DAG,*SWO,*AXE
//
// * = Dual Weapon ASPD Penalty
//
//================================================
//ID,Base,DAG,SWO,SW2,SPE,SP2,AXE,AX2,MAC,MA2,ROD,BOW,KNU,INS,WHI,BOK,KAT,HGU,RIF,GAT,SGU,GRE,HUU,RO2,SHI,*DAG,*SWO,*AXE
  10, 156,-10,-10,  0,  0,  0, -6,-13, -8,-13,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -5,   0,   0,   0 // Blacksmith
  11, 156,-13,  0,  0,  0,  0,  0,  0,  0,  0,  0, -8,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -9,   0,   0,   0 // Hunter
  12, 156, -2,-10,  0,  0,  0,-11,  0,  0,  0,  0,  0,  0,  0,  0,  0, -2,  0,  0,  0,  0,  0,  0,  0, -6, -10, -12, -12 // Assassin
  13, 156, -9, -5,-12,-15,-25,-10,-15, -5,-10,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -5,   0,   0,   0 // Knight (Peco)
  14, 156, -8, -3,-15,-13,-12,-10,-15, -5,-10,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -5,   0,   0,   0 // Crusader
  15, 156,  0,  0,  0,  0,  0,  0,  0, -3, -3,-20,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,-18, -5,   0,   0,   0 // Monk
  16, 151, -8,  0,  0,  0,  0,  0,  0,  0,  0,-10,  0,  0,  0,  0,  2,  0,  0,  0,  0,  0,  0,  0,-10,-10,   0,   0,   0 // Sage
  17, 156, -5,-10,  0,  0,  0, -3,  0,  0,  0,  0,-10,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -5,   0,   0,   0 // Rogue
  18, 156,-10, -5,  0,  0,  0, -5,-12, -5,-10,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -4,   0,   0,   0 // Alchemist
  19, 156,-13,  0,  0,  0,  0,  0,  0,  0,  0,  0, -8,  0, -5,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -7,   0,   0,   0 // Bard
  20, 156,-13,  0,  0,  0,  0,  0,  0,  0,  0,  0, -8,  0,  0, -5,  0,  0,  0,  0,  0,  0,  0,  0,  0, -7,   0,   0,   0 // Dancer
  21, 156, -8, -3,-15,-13,-12,-10,-15, -5,-10,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -5,   0,   0,   0 // Crusader (Peco)
  22,   0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,   0,   0,   0 // Wedding
  23, 156,-15,-17,  0,  0,  0,-10,  0,-10,-15,-25,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,-10,   0,   0,   0 // Super Novice
  24, 146,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  5, -5,  0,-40,-50,  0,  0, -6,   0,   0,   0 // Gunslinger
  25, 156, -3,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,-15,  0, -6,   0,   0,   0 // Ninja
4001, 156,-15,-17,  0,  0,  0,-10,  0,-10,-15,-25,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,-10,   0,   0,   0 // Novice High
4002, 156, -7, -7,-14,-17,-25,-15,-20,-10,-15,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -5,   0,   0,   0 // Swordman High
4003, 146,  0,  0,  0,  0,  0,  0,  0,  0,  0, -5,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -5,-10,   0,   0,   0 // Magician High
4004, 156,-15,  0,  0,  0,  0,  0,  0,  0,  0,  0,-10,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -9,   0,   0,   0 // Archer High
4005, 156,  0,  0,  0,  0,  0,  0,  0, -5,-10,-20,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -7,   0,   0,   0 // Acolyte High
4006, 156,-12,-12,  0,  0,  0, -8,-15,-10,-15,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -5,   0,   0,   0 // Merchant High
4007, 156, -8,-10,  0,  0,  0,-20,  0,  0,  0,  0,-13,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -6,   0,   0,   0 // Thief High
4008, 156, -9, -5,-12,-15,-25,-10,-15, -5,-10,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -5,   0,   0,   0 // Lord Knight
4009, 156,  0,  0,  0,  0,  0,  0,  0, -3, -8,-20,  0,-20,  0,  0, -4,  0,  0,  0,  0,  0,  0,  0,-20, -5,   0,   0,   0 // High Priest
4010, 146, -4,  0,  0,  0,  0,  0,  0,  0,  0, -3,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -3, -8,   0,   0,   0 // High Wizard
4011, 156,-10,-10,  0,  0,  0, -6,-13, -8,-13,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -5,   0,   0,   0 // Whitesmith
4012, 156,-13,  0,  0,  0,  0,  0,  0,  0,  0,  0, -8,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -9,   0,   0,   0 // Sniper
4013, 156, -2,-10,  0,  0,  0,-11,  0,  0,  0,  0,  0,  0,  0,  0,  0, -2,  0,  0,  0,  0,  0,  0,  0, -6, -10, -12, -12 // Assassin Cross
4014, 156, -9, -5,-12,-15,-25,-10,-15, -5,-10,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -5,   0,   0,   0 // Lord Knight (Peco)
4015, 156, -8, -3,-15,-13,-12,-10,-15, -5,-10,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -5,   0,   0,   0 // Paladin
4016, 156,  0,  0,  0,  0,  0,  0,  0, -3, -8,-20,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,-18, -5,   0,   0,   0 // Champion
4017, 151, -8,  0,  0,  0,  0,  0,  0,  0,  0,-10,  0,  0,  0,  0,  2,  0,  0,  0,  0,  0,  0,  0,-10,-10,   0,   0,   0 // Professor
4018, 156, -5,-10,  0,  0,  0, -3,  0,  0,  0,  0,-10,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -5,   0,   0,   0 // Stalker
4019, 156,-10, -5,  0,  0,  0, -5,-12, -5,-10,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -4,   0,   0,   0 // Creator
4020, 156,-13,  0,  0,  0,  0,  0,  0,  0,  0,  0, -8,  0, -5,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -7,   0,   0,   0 // Clown
4021, 156,-13,  0,  0,  0,  0,  0,  0,  0,  0,  0, -8,  0,  0, -5,  0,  0,  0,  0,  0,  0,  0,  0,  0, -7,   0,   0,   0 // Gypsy
4022, 156, -8, -3,-15,-13,-12,-10,-15, -5,-10,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -5,   0,   0,   0 // Paladin (Peco)
4023, 156,-15,-17,  0,  0,  0,-10,  0,-10,-15,-25,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,-10,   0,   0,   0 // Baby Novice
4024, 156, -7, -7,-14,-17,-25,-15,-20,-10,-15,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -5,   0,   0,   0 // Baby Swordman
4025, 146,  0,  0,  0,  0,  0,  0,  0,  0,  0, -5,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -5,-10,   0,   0,   0 // Baby Magician
4026, 156,-15,  0,  0,  0,  0,  0,  0,  0,  0,  0,-10,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -9,   0,   0,   0 // Baby Archer
4027, 156,  0,  0,  0,  0,  0,  0,  0, -5,-10,-20,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -7,   0,   0,   0 // Baby Acolyte
4028, 156,-12,-12,  0,  0,  0, -8,-15,-10,-15,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -5,   0,   0,   0 // Baby Merchant
4029, 156, -8,-10,  0,  0,  0,-20,  0,  0,  0,  0,-13,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -6,   0,   0,   0 // Baby Thief
4030, 156, -9, -5,-12,-15,-25,-10,-15, -5,-10,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -5,   0,   0,   0 // Baby Knight
4031, 156,  0,  0,  0,  0,  0,  0,  0, -3, -8,-20,  0,-20,  0,  0, -4,  0,  0,  0,  0,  0,  0,  0,-20, -5,   0,   0,   0 // Baby Priest
4032, 146, -4,  0,  0,  0,  0,  0,  0,  0,  0, -3,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -3, -8,   0,   0,   0 // Baby Wizard
4033, 156,-10,-10,  0,  0,  0, -6,-13, -8,-13,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -5,   0,   0,   0 // Baby Blacksmith
4034, 156,-13,  0,  0,  0,  0,  0,  0,  0,  0,  0, -8,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -9,   0,   0,   0 // Baby Hunter
4035, 156, -2,-10,  0,  0,  0,-11,  0,  0,  0,  0,  0,  0,  0,  0,  0, -2,  0,  0,  0,  0,  0,  0,  0, -6, -10, -12, -12 // Baby Assassin
4036, 156, -9, -5,-12,-15,-25,-10,-15, -5,-10,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -5,   0,   0,   0 // Baby Knight (Peco)
4037, 156, -8, -3,-15,-13,-12,-10,-15, -5,-10,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -5,   0,   0,   0 // Baby Crusader
4038, 156,  0,  0,  0,  0,  0,  0,  0, -3, -8,-20,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,-18, -5,   0,   0,   0 // Baby Monk
4039, 151, -8,  0,  0,  0,  0,  0,  0,  0,  0,-10,  0,  0,  0,  0,  2,  0,  0,  0,  0,  0,  0,  0,-10,-10,   0,   0,   0 // Baby Sage
4040, 156, -5,-10,  0,  0,  0, -3,  0,  0,  0,  0,-10,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -5,   0,   0,   0 // Baby Rogue
4041, 156,-10, -5,  0,  0,  0, -5,-12, -5,-10,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -4,   0,   0,   0 // Baby Alchemist
4042, 156,-13,  0,  0,  0,  0,  0,  0,  0,  0,  0, -8,  0, -5,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -7,   0,   0,   0 // Baby Bard
4043, 156,-13,  0,  0,  0,  0,  0,  0,  0,  0,  0, -8,  0,  0, -5,  0,  0,  0,  0,  0,  0,  0,  0,  0, -7,   0,   0,   0 // Baby Dancer
4044, 156, -8, -3,-15,-13,-12,-10,-15, -5,-10,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -5,   0,   0,   0 // Baby Crusader (Peco)
4045, 156,-15,-17,  0,  0,  0,-10,  0,-10,-15,-25,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,-10,   0,   0,   0 // Baby Super Novice
4046, 156,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -6,   0,   0,   0 // Taekwon
4047, 156,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,-10,  0,  0,  0,  0,  0,  0,  0,  0, -6,   0,   0,   0 // Star Knight
4048, 156,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,-10,  0,  0,  0,  0,  0,  0,  0,  0, -6,   0,   0,   0 // Star Knight (flying)
4049, 146,  0,  0,  0,  0,  0,  0,  0,  0,  0, -3,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -3, -8,   0,   0,   0 // Soul Linker
4054, 156,-10,-12,-15, -8,-12,-18,-20, -5,-12,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -5,   0,   0,   0 // Rune Knight
4055, 151, -7,  0,  0,  0,  0,  0,  0,  0,  0, -5,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -5, -5,   0,   0,   0 // Warlock
4056, 156,-10,  0,  0,  0,  0,  0,  0,  0,  0,  0, -9,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -8,   0,   0,   0 // Ranger
4057, 151,  0,  0,  0,  0,  0,  0,  0,-12,-12,-15,  0, -5,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0,-10, -5,   0,   0,   0 // Arch Bishop
4058, 156,-20,-25,  0,  0,  0, -5, -8, -8,-10,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -6,   0,   0,   0 // Mechanic
4059, 156, -2,-25,  0,  0,  0,-40,  0,  0,  0,  0,  0,  0,  0,  0,  0, -2,  0,  0,  0,  0,  0,  0,  0, -9, -10, -16, -20 // Guillotine Cross
4060, 156,-10,-12,-15, -8,-12,-18,-20, -5,-12,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -5,   0,   0,   0 // Rune Knight T
4061, 151, -7,  0,  0,  0,  0,  0,  0,  0,  0, -5,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -5, -5,   0,   0,   0 // Warlock T
4062, 156,-10,  0,  0,  0,  0,  0,  0,  0,  0,  0, -9,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -8,   0,   0,   0 // Ranger T
4063, 151,  0,  0,  0,  0,  0,  0,  0,-12,-12,-15,  0, -5,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0,-10, -5,   0,   0,   0 // Arch Bishop T
4064, 156,-20,-25,  0,  0,  0, -5, -8, -8,-10,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -6,   0,   0,   0 // Mechanic T
4065, 156, -2,-25,  0,  0,  0,-40,  0,  0,  0,  0,  0,  0,  0,  0,  0, -2,  0,  0,  0,  0,  0,  0,  0, -9, -10, -16, -20 // Guillotine Cross T
4066, 156, -7, -5, -9,-10,-10, -8,-12, -4,-10,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -5,   0,   0,   0 // Royal Guard
4067, 156,-10,  0,  0,  0,  0,  0,  0,  0,  0, -5,  0,  0,  0,  0, -5,  0,  0,  0,  0,  0,  0,  0, -5, -5,   0,   0,   0 // Sorcerer
4068, 156,-12,  0,  0,  0,  0,  0,  0,  0,  0,  0,-10,  0, -5,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -7,   0,   0,   0 // Minstrel
4069, 156,-12,  0,  0,  0,  0,  0,  0,  0,  0,  0,-10,  0,  0, -5,  0,  0,  0,  0,  0,  0,  0,  0,  0, -7,   0,   0,   0 // Wanderer
4070, 158,  0,  0,  0,  0,  0,  0,  0, -5, -7,-10,  0, -1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,-12, -5,   0,   0,   0 // Sura
4071, 156,-10, -4,  0,  0,  0,-11,-11, -5, -9,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -4,   0,   0,   0 // Genetic
4072, 156, -3, -7,  0,  0,  0, -3,  0,  0,  0,  0, -7,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -5,   0,   0,   0 // Shadow Chaser
4073, 156, -7, -5, -9,-10,-10, -8,-12, -4,-10,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -5,   0,   0,   0 // Royal Guard T
4074, 156,-10,  0,  0,  0,  0,  0,  0,  0,  0, -5,  0,  0,  0,  0, -5,  0,  0,  0,  0,  0,  0,  0, -5, -5,   0,   0,   0 // Sorcerer T
4075, 156,-12,  0,  0,  0,  0,  0,  0,  0,  0,  0,-10,  0, -5,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -7,   0,   0,   0 // Minstrel T
4076, 156,-12,  0,  0,  0,  0,  0,  0,  0,  0,  0,-10,  0,  0, -5,  0,  0,  0,  0,  0,  0,  0,  0,  0, -7,   0,   0,   0 // Wanderer T
4077, 158,  0,  0,  0,  0,  0,  0,  0, -5, -7,-10,  0, -1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,-12, -5,   0,   0,   0 // Sura T
4078, 156,-10, -4,  0,  0,  0,-11,-11, -5, -9,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -4,   0,   0,   0 // Genetic T
4079, 156, -3, -7,  0,  0,  0, -3,  0,  0,  0,  0, -7,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -5,   0,   0,   0 // Shadow Chaser T
4080, 156,-10,-12,-15, -8,-12,-18,-20, -5,-12,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -5,   0,   0,   0 // Rune Knight (Dragon)
4081, 156,-10,-12,-15, -8,-12,-18,-20, -5,-12,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -5,   0,   0,   0 // Rune Knight T (Dragon)
4082, 156, -7, -5, -9,-10,-10, -8,-12, -4,-10,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -5,   0,   0,   0 // Royal Guard (Gryphon)
4083, 156, -7, -5, -9,-10,-10, -8,-12, -4,-10,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -5,   0,   0,   0 // Royal Guard T (Gryphon)
4084, 156,-10,  0,  0,  0,  0,  0,  0,  0,  0,  0, -9,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -8,   0,   0,   0 // Ranger (Warg)
4085, 156,-10,  0,  0,  0,  0,  0,  0,  0,  0,  0, -9,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -8,   0,   0,   0 // Ranger T (Warg)
4086, 156,-20,-25,  0,  0,  0, -5, -8, -8,-10,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -6,   0,   0,   0 // Mechanic Mount	(Base 2nd to 3rd)
4087, 156,-20,-25,  0,  0,  0, -5, -8, -8,-10,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -6,   0,   0,   0 // Mechanic Mount	(Trans 2nd to 3rd)
4096, 156,-10,-12,-15, -8,-12,-18,-20, -5,-12,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -5,   0,   0,   0 // Baby Rune Knight
4097, 151, -7,  0,  0,  0,  0,  0,  0,  0,  0, -5,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -5, -5,   0,   0,   0 // Baby Warlock
4098, 156,-10,  0,  0,  0,  0,  0,  0,  0,  0,  0, -9,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -8,   0,   0,   0 // Baby Ranger
4099, 151,  0,  0,  0,  0,  0,  0,  0,-12,-12,-15,  0, -5,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0,-10, -5,   0,   0,   0 // Baby Arch Bishop
4100, 156,-20,-25,  0,  0,  0, -5, -8, -8,-10,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -6,   0,   0,   0 // Baby Mechanic
4101, 156, -2,-25,  0,  0,  0,-40,  0,  0,  0,  0,  0,  0,  0,  0,  0, -2,  0,  0,  0,  0,  0,  0,  0, -9, -10, -16, -20 // Baby Guillotine Cross
4102, 156, -7, -5, -9,-10,-10, -8,-12, -4,-10,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -5,   0,   0,   0 // Baby Royal Guard
4103, 156,-10,  0,  0,  0,  0,  0,  0,  0,  0, -5,  0,  0,  0,  0, -5,  0,  0,  0,  0,  0,  0,  0, -5, -5,   0,   0,   0 // Baby Sorcerer
4104, 156,-12,  0,  0,  0,  0,  0,  0,  0,  0,  0,-10,  0, -5,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -7,   0,   0,   0 // Baby Minstrel
4105, 156,-12,  0,  0,  0,  0,  0,  0,  0,  0,  0,-10,  0,  0, -5,  0,  0,  0,  0,  0,  0,  0,  0,  0, -7,   0,   0,   0 // Baby Wanderer
4106, 158,  0,  0,  0,  0,  0,  0,  0, -5, -7,-10,  0, -1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,-12, -5,   0,   0,   0 // Baby Sura
4107, 156,-10, -4,  0,  0,  0,-11,-11, -5, -9,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -4,   0,   0,   0 // Baby Genetic
4108, 156, -3, -7,  0,  0,  0, -3,  0,  0,  0,  0, -7,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -5,   0,   0,   0 // Baby Shadow Chaser
4109, 156,-10,-12,-15, -8,-12,-18,-20, -5,-12,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -5,   0,   0,   0 // Baby Rune Knight Mount
4110, 156, -7, -5, -9,-10,-10, -8,-12, -4,-10,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -5,   0,   0,   0 // Baby Royal Guard Mount
4111, 156,-10,  0,  0,  0,  0,  0,  0,  0,  0,  0, -9,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -8,   0,   0,   0 // Baby Ranger Mount
4112, 156,-20,-25,  0,  0,  0, -5, -8, -8,-10,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, -6,   0,   0,   0 // Baby Mechanic Mount
4190, 156,-15,-17,  0,  0,  0,-10,  0,-10,-15,-25,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,-10,   0,   0,   0 // Super Novice (Extended)
4191, 156,-15,-17,  0,  0,  0,-10,  0,-10,-15,-25,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,-10,   0,   0,   0 // Super Novice Baby (Extended)
4211, 156, -3,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,-15,  0, -6,   0,   0,   0 // Kagerou
4212, 156, -3,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,-15,  0, -6,   0,   0,   0 // Oboro
